Source	Target	Type	Citation
AATF	BAX	2	22909821
AATF	CDKN1A	Unknown	17157788
AATF	KLK3	Unknown	23146908
AATF	MYC	1	20549547
AATF	TP53	Unknown	17157788
ABL1	BAX	1	11753601
ABL1	BCL2	2	11753601
ABL1	BCL6	2	15509806
ABL1	CCND2	1	15509806
ABL1	CDKN1A	1	11753601;9916993
ABL1	CSF1	1	23418320
ABL1	CSF1	Unknown	18619508
ABL1	FOXO3	1	15509806
ABL1	JUN	1	15145216
ABL1	JUN	2	19357699
ABL1	PIM1	1	15145216
ABL1	TP53	1	11753601
AES	EPHA3	Unknown	20676368
AES	LEF1	1	20676368
AES	RND3	1	23546594
AHR	ABCG2	Unknown	20460431
AHR	AHRR	1	18848529
AHR	ARNT	Unknown	19255421;8631989
AHR	BRCA1	Unknown	18259752
AHR	CA9	2	19154183
AHR	CCND1	Unknown	24380854
AHR	CCNG2	1	22596188
AHR	CYP1A1	1	12213390;9865727
AHR	CYP1A1	2	17012224
AHR	CYP1A1	Unknown	10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073
AHR	CYP1A2	Unknown	21357676
AHR	CYP1B1	1	16115918;19287966
AHR	CYP1B1	Unknown	12376470;19376845;21742528;24299737
AHR	CYP2B6	Unknown	19928584
AHR	FOS	Unknown	10478842
AHR	IL13	Unknown	22981205
AHR	IL1B	Unknown	23349129
AHR	IL6	1	20511231
AHR	IL6	Unknown	18483242;23349129
AHR	MFSD2A	Unknown	21736709
AHR	MT2A	Unknown	23994556
AHR	MYC	Unknown	11114727;16091746
AHR	PCNA	1	12417031
AHR	RFC3	1	12417031
AHR	UGT1A1	1	18172616
AHR	UGT1A6	Unknown	9466822
AIP	AHR	1	11469723
AIP	GREB1	2	21984905
AIP	NFKB2	2	21984905
AIP	RSF1	2	21984905
AIP	TFF1	2	21984905
AIRE	CHRNA1	Unknown	17687331
ANKRD1	NPPA	2	18273862
APBB1	GMPS	2	21453247
APC	AKT1	2	15888491
APC	AMHR2	2	12724325
APC	BIRC5	Unknown	11751382
APC	DLG1	Unknown	21858148
APC	DNMT1	2	12538344
APC	F8	Unknown	12010799
APC	KLF4	Unknown	12387883
APC	MYC	2	16510874
APC	NOS2	1	11935128
APC	ODC1	2	12112318
APC	PTGS2	2	10772828;12566320
